"region","Summer","Winter","summer_percentage","winter_percentage","expected_summer_pct","amt_above_exp_sum_pct","id"
"Afghanistan",2,0,1,0,0.849087542978048,0.150912457021952,"4"
"Algeria",17,0,1,0,0.849087542978048,0.150912457021952,"12"
"Argentina",74,0,1,0,0.849087542978048,0.150912457021952,"32"
"Armenia",16,0,1,0,0.849087542978048,0.150912457021952,"51"
"Australia",518,13,0.975517890772128,0.024482109227872,0.849087542978048,0.12643034779408,"36"
"Austria",108,218,0.331288343558282,0.668711656441718,0.849087542978048,-0.517799199419766,"40"
"Azerbaijan",44,0,1,0,0.849087542978048,0.150912457021952,"31"
"Bahamas",14,0,1,0,0.849087542978048,0.150912457021952,"44"
"Bahrain",3,0,1,0,0.849087542978048,0.150912457021952,"48"
"Barbados",1,0,1,0,0.849087542978048,0.150912457021952,"52"
"Belarus",84,15,0.848484848484849,0.151515151515151,0.849087542978048,-0.000602694493199607,"112"
"Belgium",166,5,0.970760233918129,0.0292397660818714,0.849087542978048,0.12167269094008,"56"
"Bermuda",1,0,1,0,0.849087542978048,0.150912457021952,"60"
"Botswana",1,0,1,0,0.849087542978048,0.150912457021952,"72"
"Brazil",128,0,1,0,0.849087542978048,0.150912457021952,"76"
"Bulgaria",217,6,0.973094170403587,0.0269058295964125,0.849087542978048,0.124006627425539,"100"
"Burundi",2,0,1,0,0.849087542978048,0.150912457021952,"108"
"Cameroon",5,0,1,0,0.849087542978048,0.150912457021952,"120"
"Canada",305,170,0.642105263157895,0.357894736842105,0.849087542978048,-0.206982279820153,"124"
"Chile",13,0,1,0,0.849087542978048,0.150912457021952,"152"
"China",545,53,0.911371237458194,0.0886287625418061,0.849087542978048,0.0622836944801458,"156"
"Colombia",28,0,1,0,0.849087542978048,0.150912457021952,"170"
"Costa Rica",4,0,1,0,0.849087542978048,0.150912457021952,"188"
"Croatia",33,11,0.75,0.25,0.849087542978048,-0.0990875429780481,"191"
"Cuba",214,0,1,0,0.849087542978048,0.150912457021952,"192"
"Curacao",1,0,1,0,0.849087542978048,0.150912457021952,"531"
"Cyprus",1,0,1,0,0.849087542978048,0.150912457021952,"196"
"Czech Republic",207,49,0.80859375,0.19140625,0.849087542978048,-0.0404937929780481,"203"
"Denmark",210,1,0.995260663507109,0.00473933649289104,0.849087542978048,0.146173120529061,"208"
"Djibouti",1,0,1,0,0.849087542978048,0.150912457021952,"262"
"Dominican Republic",7,0,1,0,0.849087542978048,0.150912457021952,"214"
"Ecuador",2,0,1,0,0.849087542978048,0.150912457021952,"218"
"Egypt",27,0,1,0,0.849087542978048,0.150912457021952,"818"
"Eritrea",1,0,1,0,0.849087542978048,0.150912457021952,"232"
"Estonia",34,7,0.829268292682927,0.170731707317073,0.849087542978048,-0.0198192502951213,"233"
"Ethiopia",53,0,1,0,0.849087542978048,0.150912457021952,"231"
"Fiji",1,0,1,0,0.849087542978048,0.150912457021952,"242"
"Finland",310,161,0.658174097664543,0.341825902335457,0.849087542978048,-0.190913445313505,"246"
"France",770,109,0.875995449374289,0.124004550625711,0.849087542978048,0.0269079063962409,"250"
"Gabon",1,0,1,0,0.849087542978048,0.150912457021952,"266"
"Georgia",32,0,1,0,0.849087542978048,0.150912457021952,"268"
"Germany",1389,377,0.786523216308041,0.213476783691959,0.849087542978048,-0.0625643266700073,"276"
"Ghana",4,0,1,0,0.849087542978048,0.150912457021952,"288"
"Greece",151,0,1,0,0.849087542978048,0.150912457021952,"300"
"Grenada",2,0,1,0,0.849087542978048,0.150912457021952,"308"
"Guatemala",1,0,1,0,0.849087542978048,0.150912457021952,"320"
"Guyana",1,0,1,0,0.849087542978048,0.150912457021952,"328"
"Haiti",3,0,1,0,0.849087542978048,0.150912457021952,"332"
"Hungary",504,6,0.988235294117647,0.0117647058823529,0.849087542978048,0.139147751139599,"348"
"Iceland",4,0,1,0,0.849087542978048,0.150912457021952,"352"
"India",28,1,0.96551724137931,0.0344827586206896,0.849087542978048,0.116429698401262,"356"
"Individual Olympic Athletes",5,0,1,0,0.849087542978048,0.150912457021952,NA
"Indonesia",30,0,1,0,0.849087542978048,0.150912457021952,"360"
"Iran",68,0,1,0,0.849087542978048,0.150912457021952,"364"
"Iraq",1,0,1,0,0.849087542978048,0.150912457021952,"368"
"Ireland",33,0,1,0,0.849087542978048,0.150912457021952,"372"
"Israel",9,0,1,0,0.849087542978048,0.150912457021952,"376"
"Italy",608,114,0.842105263157895,0.157894736842105,0.849087542978048,-0.00698227982015343,"380"
"Ivory Coast",3,0,1,0,0.849087542978048,0.150912457021952,"384"
"Jamaica",76,0,1,0,0.849087542978048,0.150912457021952,"388"
"Japan",437,45,0.906639004149378,0.0933609958506224,0.849087542978048,0.0575514611713295,"392"
"Jordan",1,0,1,0,0.849087542978048,0.150912457021952,"400"
"Kazakhstan",70,7,0.909090909090909,0.0909090909090909,0.849087542978048,0.0600033661128609,"398"
"Kenya",100,0,1,0,0.849087542978048,0.150912457021952,"404"
"Kosovo",1,0,1,0,0.849087542978048,0.150912457021952,NA
"Kuwait",2,0,1,0,0.849087542978048,0.150912457021952,"414"
"Kyrgyzstan",3,0,1,0,0.849087542978048,0.150912457021952,"417"
"Latvia",19,7,0.730769230769231,0.269230769230769,0.849087542978048,-0.118318312208817,"428"
"Lebanon",4,0,1,0,0.849087542978048,0.150912457021952,"422"
"Liechtenstein",0,9,0,1,0.849087542978048,-0.849087542978048,"438"
"Lithuania",25,0,1,0,0.849087542978048,0.150912457021952,"440"
"Luxembourg",6,2,0.75,0.25,0.849087542978048,-0.0990875429780481,"442"
"Macedonia",1,0,1,0,0.849087542978048,0.150912457021952,"807"
"Malaysia",11,0,1,0,0.849087542978048,0.150912457021952,"458"
"Mauritius",1,0,1,0,0.849087542978048,0.150912457021952,"480"
"Mexico",67,0,1,0,0.849087542978048,0.150912457021952,"484"
"Moldova",7,0,1,0,0.849087542978048,0.150912457021952,"498"
"Monaco",1,0,1,0,0.849087542978048,0.150912457021952,"492"
"Mongolia",26,0,1,0,0.849087542978048,0.150912457021952,"496"
"Montenegro",1,0,1,0,0.849087542978048,0.150912457021952,"499"
"Morocco",23,0,1,0,0.849087542978048,0.150912457021952,"504"
"Mozambique",2,0,1,0,0.849087542978048,0.150912457021952,"508"
"Namibia",4,0,1,0,0.849087542978048,0.150912457021952,"516"
"Nepal",0,1,0,1,0.849087542978048,-0.849087542978048,"524"
"Netherlands",297,110,0.72972972972973,0.27027027027027,0.849087542978048,-0.119357813248318,"528"
"New Zealand",118,1,0.991596638655462,0.00840336134453779,0.849087542978048,0.142509095677414,"554"
"Niger",2,0,1,0,0.849087542978048,0.150912457021952,"562"
"Nigeria",24,0,1,0,0.849087542978048,0.150912457021952,"566"
"North Korea",54,2,0.964285714285714,0.0357142857142857,0.849087542978048,0.115198171307666,"408"
"Norway",155,319,0.327004219409283,0.672995780590717,0.849087542978048,-0.522083323568765,"578"
"Pakistan",10,0,1,0,0.849087542978048,0.150912457021952,"586"
"Panama",3,0,1,0,0.849087542978048,0.150912457021952,"591"
"Paraguay",1,0,1,0,0.849087542978048,0.150912457021952,"600"
"Peru",4,0,1,0,0.849087542978048,0.150912457021952,"604"
"Philippines",10,0,1,0,0.849087542978048,0.150912457021952,"608"
"Poland",290,20,0.935483870967742,0.0645161290322581,0.849087542978048,0.0863963279896938,"616"
"Portugal",24,0,1,0,0.849087542978048,0.150912457021952,"620"
"Puerto Rico",9,0,1,0,0.849087542978048,0.150912457021952,"630"
"Qatar",5,0,1,0,0.849087542978048,0.150912457021952,"634"
"Romania",303,1,0.996710526315789,0.00328947368421051,0.849087542978048,0.147622983337741,"642"
"Russia",1577,339,0.823068893528184,0.176931106471816,0.849087542978048,-0.0260186494498644,"643"
"Saudi Arabia",3,0,1,0,0.849087542978048,0.150912457021952,"682"
"Senegal",1,0,1,0,0.849087542978048,0.150912457021952,"686"
"Serbia",107,4,0.963963963963964,0.036036036036036,0.849087542978048,0.114876420985916,"688"
"Singapore",5,0,1,0,0.849087542978048,0.150912457021952,"702"
"Slovakia",28,5,0.848484848484849,0.151515151515151,0.849087542978048,-0.000602694493199607,"703"
"Slovenia",23,15,0.605263157894737,0.394736842105263,0.849087542978048,-0.243824385083311,"705"
"South Africa",88,0,1,0,0.849087542978048,0.150912457021952,"710"
"South Korea",263,53,0.832278481012658,0.167721518987342,0.849087542978048,-0.0168090619653899,"410"
"Spain",148,2,0.986666666666667,0.0133333333333333,0.849087542978048,0.137579123688619,"724"
"Sri Lanka",2,0,1,0,0.849087542978048,0.150912457021952,"144"
"Sudan",1,0,1,0,0.849087542978048,0.150912457021952,"729"
"Suriname",2,0,1,0,0.849087542978048,0.150912457021952,"740"
"Sweden",513,144,0.780821917808219,0.219178082191781,0.849087542978048,-0.0682656251698289,"752"
"Switzerland",209,137,0.604046242774566,0.395953757225434,0.849087542978048,-0.245041300203482,"756"
"Syria",5,0,1,0,0.849087542978048,0.150912457021952,"760"
"Taiwan",24,0,1,0,0.849087542978048,0.150912457021952,"158"
"Tajikistan",4,0,1,0,0.849087542978048,0.150912457021952,"762"
"Tanzania",2,0,1,0,0.849087542978048,0.150912457021952,"834"
"Thailand",30,0,1,0,0.849087542978048,0.150912457021952,"764"
"Togo",1,0,1,0,0.849087542978048,0.150912457021952,"768"
"Tonga",1,0,1,0,0.849087542978048,0.150912457021952,"776"
"Trinidad",21,0,1,0,0.849087542978048,0.150912457021952,"780"
"Tunisia",13,0,1,0,0.849087542978048,0.150912457021952,"788"
"Turkey",95,0,1,0,0.849087542978048,0.150912457021952,"792"
"Uganda",7,0,1,0,0.849087542978048,0.150912457021952,"800"
"UK",892,27,0.970620239390642,0.029379760609358,0.849087542978048,0.121532696412594,"826"
"Ukraine",126,7,0.947368421052632,0.0526315789473685,0.849087542978048,0.0982808780745834,"804"
"United Arab Emirates",2,0,1,0,0.849087542978048,0.150912457021952,"784"
"Uruguay",10,0,1,0,0.849087542978048,0.150912457021952,"858"
"USA",2544,279,0.901168969181722,0.0988310308182784,0.849087542978048,0.0520814262036735,"840"
"Uzbekistan",33,1,0.970588235294118,0.0294117647058824,0.849087542978048,0.12150069231607,"860"
"Venezuela",15,0,1,0,0.849087542978048,0.150912457021952,"862"
"Vietnam",4,0,1,0,0.849087542978048,0.150912457021952,"704"
"Virgin Islands, US",1,0,1,0,0.849087542978048,0.150912457021952,"850"
"Zambia",2,0,1,0,0.849087542978048,0.150912457021952,"894"
"Zimbabwe",8,0,1,0,0.849087542978048,0.150912457021952,"716"
